id,titre,description,type,priorite_moscow,business_owner,data_science_owner,statut,release_cible,effort_pts,impact_attendu
OTP-001,Ajout feature meteo aeroport arrivee,"Enrichir le modele avec la meteo prevue a l'aeroport d'arrivee (pas seulement au depart) pour ameliorer la detection des retards lies aux creneaux d'atterrissage",Evolution modele,Must,Direction Ops Hub CDG,Equipe Data Science OTP,Fait,2026-S1,5,+3pts AUC estime
OTP-002,Alerting automatique seuil de risque,"Notification automatique (email/Teams) aux dispatchers quand un vol depasse un seuil de risque de rupture OTP configurable",Nouvelle fonctionnalite,Must,Direction Ops Hub CDG,IT Data Platform,En cours,2026-S1,8,Reduction temps de detection -40%
OTP-003,Dashboard monitoring derive du modele,"Vue de suivi hebdomadaire de la performance (AUC precision rappel) pour detecter une derive du modele en production",Monitoring / MCO,Must,Referent risque retard,Equipe Data Science OTP,Fait,2026-S1,5,Detection derive < 1 semaine
OTP-004,Integration donnees correspondances bagages,"Ajouter le flux de correspondances bagages critiques comme variable explicative du risque de retard",Evolution modele,Should,Direction Bagages,Equipe Data Science OTP,A faire,2026-S2,8,+2pts AUC estime
OTP-005,Refonte alimentation quasi temps reel,"Migrer l'alimentation batch (J-1) vers un flux quasi temps reel pour rafraichir le score de risque en cours de journee operationnelle",Dette technique,Should,Referent risque retard,IT Data Platform,A faire,2026-S2,13,Latence donnees: 24h -> 15min
OTP-006,Explicabilite du score par vol (SHAP),"Ajouter une vue d'explication du score de risque par vol (facteurs contributeurs) pour les dispatchers",Nouvelle fonctionnalite,Should,Direction Ops Hub ORY,Equipe Data Science OTP,En revue,2026-S1,8,Adoption dispatchers +25%
OTP-007,Segmentation du modele par type de courrier,"Evaluer un modele dedie court/moyen/long-courrier plutot qu'un modele unique, les dynamiques de retard etant differentes",Evolution modele,Could,Referent risque retard,Equipe Data Science OTP,A faire,2026-S3,13,+4pts AUC estime (hypothese)
OTP-008,Revue mensuelle avec business owners,"Mettre en place un rituel mensuel de revue de la backlog et des priorites avec les proprietaires metier (Ops Customer Ressources)",Process,Must,Data Officer Operations,Equipe Data Science OTP,Fait,Recurrent,3,Alignement priorites
OTP-009,Documentation MCO et plan de continuite,"Rediger la documentation de maintien en conditions operationnelles (procedure de retrain, contacts, plan de secours en cas d'indisponibilite)",Documentation,Must,Referent risque retard,IT Data Platform,En cours,2026-S1,5,Reduction risque operationnel
OTP-010,Extension aux escales court-courrier regionales,"Etendre la couverture du modele aux escales regionales non couvertes actuellement (couverture actuelle: hubs CDG/ORY)",Evolution perimetre,Won't (ce trimestre),Direction Ops Regions,Equipe Data Science OTP,A faire,Backlog,13,Couverture +18% des vols
